Phi[deg],Theta[deg],Gain[dB]
4,31,3.9789e+00
4,32,3.8899e+00
4,33,3.7988e+00
4,34,3.7057e+00
4,35,3.6106e+00
4,36,3.5137e+00
4,37,3.4149e+00
4,38,3.3143e+00
4,39,3.2121e+00
4,40,3.1082e+00
4,41,3.0027e+00
4,42,2.8956e+00
4,43,2.7871e+00
4,44,2.6772e+00
4,45,2.5660e+00
4,46,2.4534e+00
4,47,2.3397e+00
4,48,2.2248e+00
4,49,2.1088e+00
4,50,1.9917e+00
4,51,1.8737e+00
4,52,1.7548e+00
4,53,1.6351e+00
4,54,1.5146e+00
4,55,1.3935e+00
4,56,1.2717e+00
4,57,1.1493e+00
4,58,1.0265e+00
4,59,9.0332e-01
4,60,7.7980e-01
4,61,6.5602e-01
4,62,5.3208e-01
4,63,4.0805e-01
4,64,2.8400e-01
4,65,1.6001e-01
4,66,3.6170e-02
4,67,-8.7450e-02
4,68,-2.1078e-01
4,69,-3.3373e-01
4,70,-4.5623e-01
4,71,-5.7821e-01
4,72,-6.9959e-01
4,73,-8.2030e-01
4,74,-9.4028e-01
4,75,-1.0595e+00
4,76,-1.1778e+00
4,77,-1.2952e+00
4,78,-1.4116e+00
4,79,-1.5270e+00
4,80,-1.6414e+00
4,81,-1.7547e+00
4,82,-1.8668e+00
4,83,-1.9778e+00
4,84,-2.0876e+00
4,85,-2.7025e+00
4,86,-2.5988e+00
4,87,-2.4938e+00
4,88,-2.3875e+00
4,89,-2.2800e+00
4,90,-2.1712e+00
4,91,-2.0612e+00
4,92,-1.9501e+00
4,93,-1.8379e+00
4,94,-1.7247e+00
4,95,-1.6105e+00
4,96,-1.4953e+00
4,97,-1.3794e+00
4,98,-1.2627e+00
4,99,-1.1452e+00
4,100,-1.0272e+00
4,101,-9.0859e-01
4,102,-7.8953e-01
4,103,-6.7007e-01
4,104,-5.5031e-01
4,105,-4.3032e-01
4,106,-3.1019e-01
4,107,-1.8998e-01
4,108,-6.9780e-02
4,109,5.0330e-02
4,110,1.7027e-01
4,111,2.8998e-01
4,112,4.0937e-01
4,113,5.2837e-01
4,114,6.4691e-01
4,115,7.6493e-01
4,116,8.8235e-01
4,117,9.9913e-01
4,118,1.1152e+00
4,119,1.2305e+00
4,120,1.3449e+00
4,121,1.4585e+00
4,122,1.5712e+00
4,123,1.6828e+00
4,124,1.7935e+00
4,125,1.9031e+00
4,126,2.0116e+00
4,127,2.1190e+00
4,128,2.2252e+00
4,129,2.3302e+00
4,130,2.4340e+00
4,131,2.5366e+00
4,132,2.6379e+00
4,133,2.7379e+00
4,134,2.8366e+00
4,135,2.9340e+00
4,136,3.0300e+00
4,137,3.1246e+00
4,138,3.2179e+00
4,139,3.3098e+00
4,140,3.4002e+00
4,141,3.4892e+00
4,142,3.5767e+00
4,143,3.6627e+00
4,144,3.7473e+00
4,145,3.8302e+00
4,146,3.9117e+00
4,147,3.9915e+00
4,148,4.0697e+00
4,149,4.1463e+00
4,150,4.2211e+00
4,151,4.2942e+00
4,152,4.3656e+00
4,153,4.4352e+00
4,154,4.5028e+00
4,155,4.5686e+00
4,156,4.6324e+00
4,157,4.6942e+00
4,158,4.7540e+00
4,159,4.8116e+00
4,160,4.8671e+00
4,161,4.9203e+00
4,162,4.9713e+00
4,163,5.0199e+00
4,164,5.0661e+00
4,165,5.1098e+00
4,166,5.1511e+00
4,167,5.1897e+00
4,168,5.2258e+00
4,169,5.2591e+00
4,170,5.2897e+00
4,171,5.3176e+00
4,172,5.3426e+00
4,173,5.3647e+00
4,174,5.3840e+00
4,175,5.4002e+00
4,176,5.4135e+00
4,177,5.4238e+00
4,178,5.4310e+00
4,179,5.4351e+00
5,0,5.4165e+00
5,1,5.4145e+00
5,2,5.4092e+00
5,3,5.4009e+00
5,4,5.3893e+00
5,5,5.3747e+00
5,6,5.3568e+00
5,7,5.3359e+00
5,8,5.3118e+00
5,9,5.2845e+00
5,10,5.2542e+00
5,11,5.2208e+00
5,12,5.1843e+00
5,13,5.1448e+00
5,14,5.1022e+00
5,15,5.0567e+00
5,16,5.0083e+00
5,17,4.9569e+00
5,18,4.9027e+00
5,19,4.8457e+00
5,20,4.7858e+00
5,21,4.7233e+00
5,22,4.6581e+00
5,23,4.5903e+00
5,24,4.5198e+00
5,25,4.4469e+00
5,26,4.3715e+00
5,27,4.2937e+00
5,28,4.2135e+00
5,29,4.1310e+00
5,30,4.0463e+00
5,31,3.9594e+00
5,32,3.8703e+00
5,33,3.7792e+00
5,34,3.6861e+00
5,35,3.5910e+00
5,36,3.4941e+00
5,37,3.3953e+00
5,38,3.2948e+00
5,39,3.1925e+00
5,40,3.0886e+00
5,41,2.9831e+00
5,42,2.8761e+00
5,43,2.7676e+00
5,44,2.6577e+00
5,45,2.5464e+00
5,46,2.4339e+00
5,47,2.3201e+00
5,48,2.2052e+00
5,49,2.0892e+00
5,50,1.9722e+00
5,51,1.8542e+00
5,52,1.7353e+00
5,53,1.6155e+00
5,54,1.4951e+00
5,55,1.3739e+00
5,56,1.2521e+00
5,57,1.1298e+00
5,58,1.0070e+00
5,59,8.8375e-01
5,60,7.6023e-01
5,61,6.3645e-01
5,62,5.1251e-01
5,63,3.8848e-01
5,64,2.6443e-01
5,65,1.4044e-01
5,66,1.6600e-02
5,67,-1.0702e-01
5,68,-2.3035e-01
5,69,-3.5330e-01
5,70,-4.7580e-01
5,71,-5.9778e-01
5,72,-7.1916e-01
5,73,-8.3987e-01
5,74,-9.5985e-01
5,75,-1.0790e+00
